Date,Category,Amount,Type,Description
10/1/14,Housing,800,Regular,Rent of Apartment
10/1/14,Education,120,Purposed,Class Registration 2015
10/1/14,Education,59.74,Purposed,Personal Website Domain
10/1/14,Beauty,45.5,Unexpected,Sasa Cosmetics
10/1/14,Devices,40,Regular,AT&T Bills
10/1/14,Utilities,30,Regular,Utilities
10/1/14,Health,22.04,Purposed,Personal Care
10/1/14,Food,14,Unexpected,Saiwaii Ramen
10/1/14,Food,2,Purposed,Donut at 7-11
10/2/14,Food,10.6,Unexpected,Lee's
10/4/14,Education,60,Purposed,Driving Lesson
10/4/14,Groceries,19.63,Purposed,Lucky Supermarket
10/4/14,Transportation,2.2,Unexpected,Muni
10/6/14,Transportation,60,Regular,Muni Monthly-Pass
10/6/14,Health,45.94,Unexpected,CVS vitamine
10/6/14,Transportation,3,Unexpected,Muni
10/7/14,Education,60,Purposed,Driving Lesson
10/8/14,Education,136,Purposed,Driving: Behind-Wheel-Test
10/8/14,Food,33,Unexpected,Um Ma Son Korean Food
10/10/14,Groceries,35.25,Purposed,Trader Joe's Supermarket
10/11/14,Entertainment,192,Purposed,MIKUEXPO Concert@LA
10/11/14,Entertainment,168.97,Purposed,Hotel @LA
10/11/14,Entertainment,74,Purposed,Air Ticket SFO-LAX
10/13/14,Entertainment,10,Unexpected,Milk Tea
10/16/14,Food,8.69,Purposed,Lee's
10/17/14,Beauty,47.81,Purposed,Skincares
10/17/14,Food,23,Unexpected,Glaze Teriyaki Grill
10/17/14,Entertainment,17.24,Unexpected,CD-The Urbanscape
10/17/14,Groceries,11.25,Purposed,Lucky Supermarket
10/17/14,Gifts,9.69,Unexpected,Tariyaki to E
10/17/14,Health,4.89,Purposed,No Description
10/18/14,Food,45,Unexpected,Happy Shabu Shabu
10/18/14,Transportation,8.8,Unexpected,Uber
10/19/14,Devices,34.99,Purposed,Tripod
10/22/14,Groceries,50,Purposed,Trader Joe's Supermarket
10/22/14,Health,20.76,Purposed,CVS
10/23/14,Food,8.5,Purposed,Boudin Bakery
10/23/14,Food,2.04,Purposed,No Description
10/24/14,Education,12,Regular,Peronal Website Hosting
10/25/14,Food,41,Purposed,Little Sheep Mogolian Hot Pot
10/25/14,Groceries,14.21,Purposed,Safeway Supermarket
10/25/14,Gifts,14.02,Unexpected,Gift to ak
10/25/14,Transportation,2.25,Unexpected,Muni
10/25/14,Entertainment,1.5,Unexpected,No Description
10/26/14,Food,10,Purposed,Boudin Bakery
10/27/14,Clothing,60.89,Purposed,Madewell Dress
10/27/14,Food,19.9,Purposed,Wing Fiesta with DL
10/27/14,Clothing,8.7,Unexpected,Aeropostale T-shirt
10/29/14,Food,53.03,Unexpected,Brenda's French Soul Food for DL Birthday
10/29/14,Beauty,7.38,Purposed,No Description
10/30/14,Food,8.9,Purposed,Lee's
10/30/14,Entertainment,1.85,Unexpected,No Description
10/30/14,Entertainment,6,Unexpected,Dessert Talk late night
10/30/14,Groceries,5.99,Purposed,No Description
10/31/14,Transportation,6.75,Unexpected,Uber
10/31/14,Food,8.32,Purposed,Boudin Bakery
10/31/14,Food,15.95,Unexpected,New Ming's takeaway
